   Year  Vintage   Adjustment Direction Outlier
1  2007 2010_Mar  0.966957101  Positive       0
2  2008 2010_Mar  0.749879290  Positive       0
3  2009 2010_Mar -0.326577390  Negative       0
4  2009 2010_Apr  0.817351695  Positive       0
5  2008 2010_Jul -2.135537587  Negative       0
6  2009 2010_Jul  2.715041539  Positive       0
7  2011 2010_Aug -0.397284174  Negative       0
8  2008 2010_Sep -2.280926877  Negative       0
9  2009 2010_Sep -0.764196152  Negative       0
10 2010 2010_Sep -5.437589250  Negative       1
11 2011 2010_Sep  2.586973519  Positive       0
12 2008 2011_Mar  0.000640833  Positive       0
13 2009 2011_Mar -0.000556312  Negative       0
14 2010 2011_Mar -2.022887638  Negative       0
15 2011 2011_Mar -1.280557977  Negative       0
16 2010 2011_Jul -0.033427117  Negative       0
17 2011 2011_Jul -0.408657758  Negative       0
18 2010 2011_Sep  0.188971932  Positive       0
19 2011 2011_Sep  0.585365099  Positive       0
20 2012 2011_Sep -0.015535080  Negative       0
21 2010 2012_Apr  0.008068105  Positive       0
22 2011 2012_Apr  0.159438701  Positive       0
23 2012 2012_Apr -6.755841068  Negative       1
24 2010 2012_Oct -0.000764581  Negative       0
25 2011 2012_Oct -2.541964022  Negative       0
26 2012 2012_Oct  0.765553786  Positive       0
27 2007 2013_Apr  0.000266717  Positive       0
28 2008 2013_Apr -0.000416595  Negative       0
29 2009 2013_Apr -0.107292212  Negative       0
30 2010 2013_Apr -0.654920986  Negative       0
31 2011 2013_Apr -1.842999667  Negative       0
32 2012 2013_Apr -0.604040395  Negative       1
33 2013 2013_Apr -1.111664701  Negative       0
34 2011 2013_Jul -0.002336995  Negative       0
35 2012 2013_Jul -0.315414323  Negative       0
36 2013 2013_Jul -0.122967417  Negative       0
37 2011 2014_Feb -0.042065903  Negative       0
38 2012 2014_Feb  0.175076928  Positive       0
39 2013 2014_Feb  1.246233851  Positive       0
40 2014 2014_Feb -1.898434951  Negative       0
41 2012 2014_Jul -0.008764818  Negative       0
42 2013 2014_Jul  0.521518840  Positive       0
43 2014 2014_Jul -0.927489011  Negative       0
44 2012 2014_Dec -0.142428293  Negative       0
45 2013 2014_Dec -0.384204314  Negative       0
46 2014 2014_Dec  0.181237462  Positive       0
47 2015 2014_Dec  0.705893981  Positive       0
48 2012 2015_Jan -0.113942634  Negative       0
49 2013 2015_Jan  0.020015987  Positive       0
50 2014 2015_Jan  0.760413128  Positive       0
51 2015 2015_Jan  1.695655734  Positive       0
52 2012 2015_Jul  0.056971317  Positive       0
53 2013 2015_Jul -0.221616621  Negative       0
54 2014 2015_Jul -0.360870443  Negative       0
55 2015 2015_Jul -1.375634001  Negative       0
56 2013 2015_Dec -0.022041968  Negative       0
57 2014 2015_Dec -0.003756268  Negative       0
58 2015 2015_Dec -1.782921941  Negative       0
59 2015 2016_May -0.362677912  Negative       0
60 2016 2016_May -3.115025012  Negative       0
